PROPERTY_TYPE,STATE,LAT,ION,AREA_M2,PRICE_USD
house,Estado de México,19.560181,-99.233528,150.0,67965.56
house,Nuevo León,25.6884355,-100.1988071,186.0,63223.78
apartment,Guerrero,16.767704,-99.764383,82.0,84298.37
apartment,Guerrero,16.829782,-99.911012,150.0,94308.8
house,Yucatán,21.05258302,-89.53863859,205.0,105191.37
house,Querétaro,20.7163149,-100.4525027,320.0,
house,Morelos,18.8126047,-98.9548261,281.0,
house,Chiapas,16.769737,-93.088928,140.0,
house,Estado de México,19.30540733,-99.64694828,235.0,
house,Morelos,18.804197,-98.932816,117.0,
apartment,Guerrero,16.775165,-99.789939,117.0,
house,Yucatán,21.0483333,-89.6780555,193.0,
house,Estado de México,19.560181,-99.233528,85.0,
house,Tabasco,18.01408208,-92.8963995,135.0,
apartment,Distrito Federal,19.390748,-99.158695,127.0,
apartment,Yucatán,21.33715074,-89.32268858,208.0,
house,Distrito Federal,19.337652,-99.2233268,297.0,
house,Nayarit,21.518174,-104.9074948,173.0,
house,Morelos,18.855343,-99.241142,73.0,
apartment,Puebla,19.0248763,-98.1945109,170.0,
apartment,Distrito Federal,19.403334,-99.157755,129.0,
apartment,Distrito Federal,19.428152,-99.106194,68.0,
house,Puebla,18.991881,-98.275275,334.0,
house,Veracruz de Ignacio de la Llave,25.624891,-103.397214,106.0,
house,Yucatán,20.997143,-89.601028,132.0,
house,Sinaloa,23.239141,-106.412613,104.0,
apartment,Distrito Federal,19.430141,-99.172536,97.0,
house,Estado de México,19.538595,-99.180214,200.0,
apartment,Yucatán,21.030668,-89.599258,80.0,
house,Tabasco,17.893124,-92.92127323,70.0,
house,Chiapas,16.717077,-93.162903,240.0,
house,Tamaulipas,22.3261979,-97.8885244,188.0,
house,Yucatán,21.0231861,-89.5863038,253.0,
apartment,Distrito Federal,19.39365,-99.14769,128.0,
house,Veracruz de Ignacio de la Llave,25.569582,-103.33239,350.0,
house,Veracruz de Ignacio de la Llave,25.581369,-103.377648,133.0,
house,Puebla,19.0412967,-98.2061996,250.0,
house,Distrito Federal,19.390301,-99.11161,187.0,
house,Veracruz de Ignacio de la Llave,19.101803,-96.163884,127.0,
apartment,Puebla,19.026517,-98.214364,102.0,
house,Jalisco,23.634501,-102.552788,107.0,
house,Yucatán,21.075163,-89.516731,242.0,
house,Distrito Federal,19.3605334,-99.2267067,245.0,
apartment,Distrito Federal,19.351369,-99.248993,90.0,
apartment,Distrito Federal,19.412142,-99.146127,75.0,
apartment,Puebla,18.987232,-98.206947,93.0,
house,Estado de México,19.715134,-99.214828,126.0,
house,Distrito Federal,19.374069,-99.01932,300.0,
house,San Luis Potosí,22.133745,-101.016029,132.0,
house,Morelos,18.804197,-98.932816,130.0,
apartment,Yucatán,21.0294432,-89.6322061,237.0,
house,Sinaloa,24.8093254,-107.4692179,96.0,
apartment,Distrito Federal,19.33923,-99.218987,102.0,
house,Baja California,32.493049,-116.907481,76.0,
house,Hidalgo,20.1254846,-98.7362998,229.0,
house,Morelos,18.960244,-99.212962,305.0,
house,Puebla,23.634501,-102.552788,128.0,
house,Estado de México,19.53808025,-99.23847934,240.0,
house,Quintana Roo,21.129547,-86.817017,135.0,
house,Nuevo León,25.5683841,-100.2439723,320.0,
apartment,Tamaulipas,22.217112,-97.854477,170.0,
house,Guerrero,16.860338,-99.870399,168.0,
house,Veracruz de Ignacio de la Llave,19.109509,-96.111477,220.0,
house,Guerrero,16.771518,-99.772466,180.0,
house,Querétaro,23.634501,-102.552788,250.0,
apartment,Yucatán,21.0307114,-89.6181018,157.0,
house,Querétaro,20.6536084,-100.3469826,128.0,
house,Estado de México,19.650003,-99.220367,135.0,
house,Nuevo León,25.708134,-100.145821,60.0,
house,Nuevo León,25.751371,-100.238281,185.0,
apartment,Distrito Federal,19.351371,-99.161529,60.0,
house,Distrito Federal,19.298899,-99.208048,300.0,
house,Veracruz de Ignacio de la Llave,25.581989,-103.378005,220.0,
house,Tamaulipas,26.074236,-98.349915,200.0,
house,Quintana Roo,21.15048247,-86.81568548,261.0,
house,Jalisco,20.785506,-103.442286,98.0,
apartment,Distrito Federal,19.374421,-99.13907,72.0,
house,Yucatán,20.99947,-89.642815,211.0,
house,Estado de México,19.533243,-99.227295,200.0,
house,Querétaro,20.705742,-100.444016,300.0,
house,Sonora,29.058504,-110.978981,185.0,
house,Puebla,18.99466,-98.2761016,178.0,
house,Sinaloa,24.754314,-107.402241,280.0,
